Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
IC0041;G;00:39:40.37;-14:10:27.6;Cet;0.71;0.45;162;15.20;;13.52;12.87;12.63;23.20;;;;;3987;0.013389;;;;;;;;2MASX J00394036-1410274,LEDA 138206;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|RadVel:2|Redshift:2
IC0042;G;00:41:05.84;-15:25:41.1;Cet;0.76;0.53;56;15.38;;12.81;11.98;11.74;23.25;SABc;;;;16075;0.055138;;;;;;;;2MASX J00410585-1525410,MCG -03-02-036,PGC 002463;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0043;G;00:42:22.06;+29:38:29.9;And;1.26;1.15;87;13.95;13.25;11.23;10.56;10.24;23.13;SABc;;;;4813;0.016185;;;;;;;;2MASX J00422206+2938298,IRAS 00396+2922,MCG +05-02-040,PGC 002536,SDSS J004222.06+293830.0,UGC 00448;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0044;Dup;00:42:15.88;+00:50:43.8;Cet;;;;;;;;;;;;;;;;;;;;0223;;;;;;;Type:1|RA:1|Dec:1|Const:99
IC0045;Other;00:42:36.34;+29:39:18.9;And;;;;;;;;;;;;;;;;;;;;;;;;;Two Galactic stars.;;Type:1|RA:1|Dec:1|Const:99
IC0046;G;00:42:57.97;+27:15:12.5;And;0.80;0.61;82;14.28;;12.30;11.69;11.45;22.83;E-S0;;;;5258;0.017696;;;;;;;;2MASX J00425798+2715134,IRAS 00402+2658,PGC 002575;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0047;G;00:42:55.01;-13:44:26.6;Cet;0.41;0.24;100;16.09;;12.72;12.02;11.75;;;;;;;;;;;;;;;2MASX J00425503-1344264,PGC 3093693;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2
IC0048;G;00:43:34.47;-08:11:11.4;Cet;1.12;0.92;172;14.01;13.16;11.03;10.34;10.03;23.01;S0;;;;6039;0.020351;;;;;;1577;;2MASX J00433448-0811114,IRAS 00410-0827,MCG -01-03-001,MCG -02-03-001,PGC 002603;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0049;G;00:43:56.13;+01:51:01.0;Cet;1.28;1.04;77;14.28;13.78;12.83;12.62;12.06;23.39;SABc;;;;4531;0.015231;;;;;;;;2MASX J00435616+0151011,MCG +00-03-003,PGC 002617,SDSS J004356.15+015101.3,UGC 00468;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0050;G;00:46:05.71;-09:30:10.8;Cet;1.02;0.87;169;14.74;;11.45;10.71;10.49;23.71;E;;;;5969;0.020113;;;;;;;;2MASX J00460569-0930109,MCG -02-03-010,PGC 002698,SDSS J004605.70-093010.7,SDSS J004605.70-093010.8,SDSS J004605.71-093010.8;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
